id,nombre,sup_id,sup_nombre,tipo,precio_venta_1y,superficie_venta_1y,elasticidad_1y,precio_alquiler_1y,rentabilidad_1y,grow_acu_alquiler_1y,grow_acu_venta_1y,grow_acu_superficie_venta_1y,precio_venta_5y,superficie_venta_5y,elasticidad_5y,precio_alquiler_5y,rentabilidad_5y,grow_acu_alquiler_5y,grow_acu_venta_5y,grow_acu_superficie_venta_5y,precio_venta_10y,superficie_venta_10y,elasticidad_10y,precio_alquiler_10y,rentabilidad_10y,grow_acu_alquiler_10y,grow_acu_venta_10y,grow_acu_superficie_venta_10y,elasticidad_1y_stars,rentabilidad_1y_stars,grow_acu_alquiler_1y_stars,grow_acu_venta_1y_stars,elasticidad_5y_stars,rentabilidad_5y_stars,grow_acu_alquiler_5y_stars,grow_acu_venta_5y_stars,elasticidad_10y_stars,rentabilidad_10y_stars,grow_acu_alquiler_10y_stars,grow_acu_venta_10y_stars
80854,torre baro,80800,nou barris,barri,1313.0,26275.75,inf,5.56,0.0508,0.09881422924901187,-0.11862147753236862,-0.0963963963963964,1122.0,3121.4583,inf,7.803,0.0867,0.04932179408290696,-0.18605856325318276,91.5235560904882,1073.0,1730.0625,inf,7.5362,0.0894,0.09211835371986263,-0.32331751868296854,97.67131671525266,1,2,5,2,1,5,2,2,2,5,2,1
80855,ciutat meridiana,80800,nou barris,barri,1608.0,795.0,2.0107,10.605,0.0791,-0.12596339113680163,-0.05689149560117302,0.17405733412268318,1768.6892,741.64,1.1003,9.77,0.0673,-0.07446834920180714,-0.02345281766180827,0.08056373468699868,1557.0138,596.52,0.1067,8.8328,0.0698,-0.0333571540086493,0.48354697052716755,1.194837333154703,1,5,2,3,2,4,1,3,2,3,2,4
80856,vallbona,80800,nou barris,barri,2467.7778,115.0,0.0,13.16,0.064,0.0,0.0,0.0,1213.6667,179.3,-3.1351,7.3,0.0759,0.07694313149350679,-0.03350710423034902,1.1963852601020744,1261.5714,131.8889,inf,7.3112,0.0728,-0.18797028447444158,-0.14422494979782507,1.4947004354628723,1,5,4,4,1,4,3,3,2,3,1,1
80957,la trinitat vella,80900,sant andreu,barri,2062.6667,824.0,-0.1425,13.37,0.0778,-0.09553011719814661,0.013595413595413521,-0.5813914218169537,1846.1755,2921.1333,-0.0396,11.6685,0.078,0.010362922099088331,0.036231698948969965,13.708952392331366,1792.1684,1716.7333,-0.6528,10.434,0.0736,0.1739977206446975,1.0027934392800604,16.543398849974597,1,5,2,4,1,5,2,3,2,3,3,5
80958,baro de viver,80900,sant andreu,barri,1644.0,158.0,0.0787,13.84,0.0565,-0.011430823807646933,-0.015815085158150853,-0.10227272727272728,1496.9667,399.4583,inf,7.7583,0.0637,0.11370883895307132,-0.15785276187231562,4.796490477587013,1237.9333,347.0417,inf,6.6215,0.0689,0.3633682709875044,0.012218292485481338,4.843554748820813,1,4,4,3,1,3,3,2,2,3,4,2
80959,el bon pastor,80900,sant andreu,barri,2229.125,554.3333,0.0231,10.945,0.0589,0.11088295687885011,0.006522615090158063,-0.1583927677677678,2195.7972,757.9467,0.0377,11.308,0.0618,0.18858531082217242,0.04494559647551774,1.502171083382765,2038.7359,1123.37,0.0876,10.503,0.0622,0.3056249482795939,0.18576131489126346,13.002343737422196,1,3,5,4,1,3,4,3,2,3,4,2
80960,sant andreu,80900,sant andreu,barri,3252.1111,2482.4,-0.0811,13.84,0.0511,-0.12313053010727426,0.06208723419696646,-0.41199651743573307,3121.7056,4367.48,-0.0089,13.012,0.05,-0.04758388233948829,0.13779557955544558,-0.45195425653904053,2858.3611,5868.615,-0.0413,12.293,0.052,0.0794737488391114,0.17077081824912654,5.431751313141244,1,2,2,4,1,2,2,4,2,2,2,2
80961,la sagrera,80900,sant andreu,barri,3115.75,686.0,0.0767,14.555,0.0561,-0.09186126373626376,-0.016493055555555556,-0.2781077348066298,3057.0591,3140.8,0.0028,13.31,0.0522,-0.03059328856082738,0.03746673391390842,3.6933199738676596,2797.4038,2612.7593,inf,12.2452,0.0526,0.14183884642225325,0.13208439538245978,13.12153080702984,1,3,2,3,1,2,2,3,2,2,3,2
80962,el congres i els indians,80900,sant andreu,barri,3117.2222,6936.0,-0.153,14.24,0.0548,-0.11573431961781475,0.003936303453211649,-0.41996667948225036,2910.8808,5056.9,-0.0853,13.0325,0.0537,-0.033264363371834915,-0.06054882924290686,4.439195194330799,2623.5927,3020.7933,-0.0681,12.0722,0.0556,0.13190870075100863,0.09473938079552505,29.879060994677655,1,3,2,4,1,2,2,2,2,2,3,2
80963,navas,80900,sant andreu,barri,3410.3333,1202.0,70.8786,14.425,0.0508,-0.11352329262777026,-0.04765894070557568,-0.03172549802944269,3081.7152,2223.6833,14.1055,13.2605,0.0517,-0.05159877936526777,-0.21024432810899002,1.7892737326345496,2811.5136,1893.8667,13.004,12.2948,0.0529,0.09353520564721814,-0.010654945111658966,10.746249117435847,5,2,2,3,5,2,2,1,5,2,2,2
81064,el camp de l'arpa del clot,81000,sant marti,barri,3598.7778,2496.0,-0.0669,15.95,0.0532,-0.11777915975677167,0.04646053439307293,0.1856856856856857,3383.5556,6200.4667,-0.0207,14.519,0.0514,-0.0742342354168794,-0.05666492775400647,3.7725520348519095,3155.9694,5125.6583,-0.0883,13.4672,0.0514,0.08499118447807003,0.10022598142875558,9.372821563347975,1,2,2,4,1,2,1,2,2,2,2,2
