link,type_v,address,town,price,price_old,info,description,tags,agent,created
https://www.idealista.com/inmueble/106296493/,Estudio,"Vilapicina i la Torre Llobeta, Barcelona","Vilapicina i la Torre Llobeta, Barcelona",83000.0,,"['45 m²', 'Bajo exterior sin ascensor']","<p class=""ellipsis"">Dolça Llar Nou Barris te presenta este acogedor estudio de 45m² construidos.Este espacio ofrece una distribución abierta que combina salón, cocina americana, dormitorio y baño en una sola estancia, ideal para quienes buscan comodidad y funcionalidad.Disfruta de una pequeña terraza con galería para lavado. Además,</p>",,,2025-01-01 12:43:37
https://www.idealista.com/inmueble/106298225/,Piso,"calle de Càller, El Besòs, Barcelona","calle de Càller, El Besòs, Barcelona",80000.0,,"['2 hab.', '51 m²', 'Planta 1ª exterior sin ascensor']","<p class=""ellipsis"">¡ Oportunidad! Piso tapiado de dos dormitorios para reformar a la venta en Barcelona. La vivienda está distribuida en salón-comedor, dos dormitorios, un cuarto de baño, cocina independiente y terraza con lavadero. Cuenta con suelos de gres, ventanas de aluminio, puertas interiores de sapelly.. . Precisa reforma integra</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/106298210/,Piso,"calle de Catània, El Besòs, Barcelona","calle de Catània, El Besòs, Barcelona",85000.0,,"['2 hab.', '54 m²', 'Planta 4ª exterior sin ascensor']","<p class=""ellipsis"">PISO OCUPADO POR PERSONA SIN JUSTO TÍTULOESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITASIDEAL PARA INVERSORESVivienda de 51 m², según Catastro, y 3 m² de elementos comunes. La vivienda está distribuida en salón-comedor, dos dormitorios, un cuarto de baño, cocina y terraza con tendedero. (La distribución</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/106249560/,Piso,"calle de Calàbria, La Nova Esquerra de l&#039;Eixample, Barcelona","calle de Calàbria, La Nova Esquerra de l&#039;Eixample, Barcelona",75000.0,,"['3 hab.', '82 m²', 'Planta 3ª exterior con ascensor']","<p class=""ellipsis"">LEER ANTES DE CONTACTAR. QUEDARÁ LIBRE TRAS DEFUNCIÓN DE LOS USUFRUCTUARIOS. SOLO INVERSORES. SE VENDE LA NUDA PROPIEDAD. ABSTENERSE AGENCIAS YA QUE LA PROPIEDAD ES DE LA EMPRESA. Precio venta 75.000 € + 890 €/mes vitalicios. Sin IPC. Usufructuario de 73 años. PISO TASADO EN 415.448 €. Piso en situado en el barrio de l</p>",Nuda propiedad,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/103713842/,Ático,"calle de la Mare de Déu de Lorda, La Trinitat Vella, Barcelona","calle de la Mare de Déu de Lorda, La Trinitat Vella, Barcelona",65000.0,,"['2 hab.', '63 m²', 'Planta 4ª exterior sin ascensor']","<p class=""ellipsis"">El Inmueble se transmite ocupado por tercero sin título. No permite visitas físicas al inmueble, por lo que la compra no se puede financiar. Propiedad en venta se trasmite sin amueblar y sin garantía sobre el estado de la viviendaDicha situación ha sido especialmente tenida en cuenta en la fijación del precio.El es</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/106176155/,Piso,"calle de la Cera, El Raval, Barcelona","calle de la Cera, El Raval, Barcelona",85000.0,,"['2 hab.', '34 m²', 'Planta 3ª interior sin ascensor']","<p class=""ellipsis"">*Piso en venta por €85,000 - Calle Cera, Barcelona*Este piso interior ubicado en la Calle Cera ofrece una excelente oportunidad de inversión. Actualmente cuenta con 1 baño y la posibilidad de hacer dos habitaciones. Situado en un tercer piso real sin ascensor, es una propiedad ideal para quienes busquen reformar y pe</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/106154994/,Estudio,"calle dels Cortada, La Teixonera, Barcelona","calle dels Cortada, La Teixonera, Barcelona",85000.0,95000.0,"['26 m²', 'Planta 3ª interior sin ascensor']","<p class=""ellipsis"">Estudio con cédula de habitabilidad!Ubicado en la zona del Vall D´Hebron! Al lado mismo de Ronda de Dalt y zona Hospital del Vall D´Hebron y cercano a la calle Dante Alighieri donde cuenta con todos los servicios, transporte y comercios. El estudio tiene una superficie de unos 26 m2 construidos y tiene 1 habitación,</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/103878891/,Piso,"calle de les Carretes, El Raval, Barcelona","calle de les Carretes, El Raval, Barcelona",92000.0,,"['1 hab.', '44 m²', 'Planta 1ª sin ascensor']","<p class=""ellipsis"">Oportunidad sólo para inversores. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.Piso de 44 m² en venta, situado en Barcelona. Construido en 1920, este piso dispone de una superficie de 44 m² y está distribuido en varias estancias. La vivienda está bien comunicada, próxima a la estación</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/103998812/,Piso,"calle del Cadí, Can Peguera - El Turó de la Peira, Barcelona","calle del Cadí, Can Peguera - El Turó de la Peira, Barcelona",92700.0,,"['1 hab.', '57 m²', 'Sótano sin ascensor']","<p class=""ellipsis"">Oportunidad sólo para inversores. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Piso de 57 m² en venta, situado en Barcelona. Construido en 1959, este piso cuenta con una superficie de 57 m² y se distribuye en varias estancias.Las comunicaciones son mediante estaciones de metro a poco</p>",,,2025-01-01 12:43:42
https://www.idealista.com/inmueble/106120545/,Piso,"Les Roquetes, Barcelona","Les Roquetes, Barcelona",88500.0,,"['2 hab.', '41 m²', 'Sótano interior sin ascensor']","<p class=""ellipsis"">Tecnocasa Estudi Mina de la Ciutat S. L tiene el placer de presentarles este inmueble el cual tenemos en exclusiva:Piso de 40m2, perfecto para invertir, se encuentra en buen estado, sin ascensor, consta de 2 dormitorios, 1 baño, Salón comedor y cocina a actualizar, además consta de una terraza comunitaria. El inmuebl</p>",,,2025-01-01 12:43:42
