created,link,type_v,address,town,price,rooms,surface,price_old,info,description,tags,agent
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102533815/,Piso,"calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de Perafita, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",63500,3.0,55,,"['3 hab.', '55 m²', ' sin ascensor']","Vivienda piso situado en un edificio residencial en la barriada de San Andrés de Palomar, en la ciudad de Barcelona. Edificio construido en el año 1971 compuesto de cuatro plantas sobre rasante sin ascensor. La vivienda cuenta con una superficie construida de 55,48 m2 y útil de 46,54 m2 distribuyéndose en salón comedor",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/96647125/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",98000,3.0,64,,"['3 hab.', '64 m²', 'Planta 5ª exterior sin ascensor']","Piso en Barcelona, idóneo para familias. La vivienda consta de 64 m² construidos distribuidos en tres habitaciones, salón-comedor, cocina y un aseo y un balcón. El inmueble tiene mucha luz natural y suelos de parquet. La vivienda se encuentra en la 5a planta del edificio, sin ascensor. En sus alrededores encontramos su",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/104922645/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",98000,3.0,64,,"['3 hab.', '64 m²', 'Planta 5ª exterior sin ascensor']","West Side vende:Piso en Barcelona en el barrio de El Carmel.La vivienda consta de 64 m² construidos y distribuidos en salón-comedor con salida a balcón, cocina, 3 dormitorios y 1 baño completo.El inmueble tiene mucha luz natural, suelos de gres y calefacción.La vivienda se encuentra en la 5a planta del edifici",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106567285/,Piso,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",50000,2.0,50,,"['2 hab.', '50 m²', 'Bajo exterior sin ascensor']","¡Espacio en venta en zona residencial, ideal para vivienda. Con salida de humos!Se vende espacio en excelente ubicación dentro de una zona residencial, ideal para adaptarlo a vivienda. La propiedad tiene un gran potencial para transformarse en un moderno y acogedor piso de 2 o 3 habitaciones. Dispone de salida de hum",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106563658/,Piso,"calle de Ramon Rocafull, El Carmel, Barcelona","calle de Ramon Rocafull, El Carmel, Barcelona",71000,2.0,55,,"['2 hab.', '55 m²', 'Planta 2ª sin ascensor']","Piso en la calle Ramón Rocafull de Barcelona. Tiene una superficie de unos 50m2 con galería-lavadero de 3,30m2. - El inmueble se transmite arrendado a tercero y con un posible derecho de éste a la adquisición preferente del mismo. El Inmueble se transmitirá: (i) como cuerpo cierto y a tanto alzado (ii) como un todo, in",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/102977935/,Piso,"calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona","calle de les Agudes, Ciutat Meridiana - Torre Baró - Vallbona, Barcelona",51000,1.0,56,52000.0,"['1 hab.', '56 m²', 'Sótano sin ascensor']","Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo.Piso de segunda mano en venta en Barcelona. Construido en 1972, tiene una superficie de 56 m² distribuidos en diversas dependencias.Se localiza e",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106559982/,Piso,"calle d&#039;Eduard Toda, Horta, Barcelona","calle d&#039;Eduard Toda, Horta, Barcelona",59000,1.0,39,,"['1 hab.', '39 m²', 'Bajo exterior sin ascensor']","Horta Residencial- Oportunidad!NO TIENE CEDULA DE HABITABILIDAD!Estudio en una de las mejores zonas de Barcelona, encontramos este espacio con muchas posibilidades.Se trata de un Local que se entregara totalmente reformado.Tiene 30 metros útiles y muy bien distribuidos, salón cocina, baño y habitación.Techos alt",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106422010/,Piso,"calle del Pare Pérez del Pulgar, La Trinitat Vella, Barcelona","calle del Pare Pérez del Pulgar, La Trinitat Vella, Barcelona",62900,3.0,57,,"['3 hab.', '57 m²', 'Planta 2ª exterior sin ascensor']","SOLO INVERSORES - INMUEBLE ALQUILADORentabilidad: 13,43%Inicio del contrato: 07/05/2019Fin del contrato: 06/05/2026Renta: 703,65 €Propiedad con inquilino construida en el 1958 en Barcelona, Barcelona. Es un piso en la planta baja, cuenta con 57m2 construidos,La información proporcionada en tiene diversas fuent",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/89362270/,Piso,"calle de Tarent, El Besòs, Barcelona","calle de Tarent, El Besòs, Barcelona",67200,3.0,52,,"['3 hab.', '52 m²', 'Planta 1ª sin ascensor']","Piso con terraza a la venta en Barcelona ciudad (Barcelona). Está situado en la primera planta de un edificio residencial dotado de portero automático. Se distribuye en un salón con acceso a la terraza y a un pequeño cuarto trastero, 3 dormitorios, cocina amueblada integrada en el salón, 1 baño equipado con plato de du",,
2025-01-18 17:04:16,https://www.idealista.com/inmueble/106548622/,Piso,"calle de Sant Rafael, 27, El Raval, Barcelona","calle de Sant Rafael, 27, El Raval, Barcelona",86700,1.0,39,,"['1 hab.', '39 m²', ' interior sin ascensor']","CARRER DE SANT RAFAEL CON RAMBLA DEL RAVAL: Vivienda para reformar completamente, en 4ª altura real de finca sin ascensor.Piso interior, con superficie según medición de 32m² útiles (36m² construidos); distribuido en salón-comedor, cocina independiente, un dormitorio, un estudio y baño.El inmueble no tiene ninguna",,
